,Time,position.x,position.y,orientation.z,ranges_0,intensities_0,ranges_135,intensities_135,ranges_270,intensities_270,ranges_405,intensities_405,ranges_540,intensities_540,orientation_imu.x,orientation_imu.y,orientation_imu.z,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,position_0,position_1,position_2,position_3,velocity_0,velocity_1,velocity_2,velocity_3,effort_0,effort_1,effort_2,effort_3,linear_cmd_vel.x,linear_cmd_vel.y,linear_cmd_vel.z,angular_cmd_vel.x,angular_cmd_vel.y,angular_cmd_vel.z
0,1648214153.7957776,-0.8228776345238449,-0.0314670155983163,0.0762007377769362,2.220000028610229,0.0,0.270000010728836,0.0,0.3499999940395355,0.0,4.590000152587891,0.0,2.450000047683716,0.0,-0.0076529087850471,-0.0150013531975845,0.0073286581436281,0.025502361357212,-0.0079584624618291,0.0042588021606206,0.1727867126464843,-0.280295193195343,9.71112060546875,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1648214153.7962096,-0.8375509729997241,-0.0324659996250487,0.0760642252949634,2.2300000190734863,0.0,0.270000010728836,0.0,0.3499999940395355,0.0,4.590000152587891,0.0,2.450000047683716,0.0,-0.007754631145915,-0.0150098849097363,0.0073291129700719,0.0087018758058547,-0.0017821905203163,-0.002832144498825,0.1574472784996032,-0.2727133631706238,9.502224922180176,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,1648214153.7997515,-0.8538991874540681,-0.0338210662516283,0.0761971330120146,2.220000028610229,0.0,0.2599999904632568,0.0,0.3600000143051147,0.0,4.590000152587891,0.0,2.440000057220459,0.0,-0.0071605945310072,-0.0158505997759701,0.006480852152139,0.0099363131448626,-0.0087209120392799,-0.0130273830145597,0.659412145614624,-0.2037850469350814,9.652398109436035,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,1648214153.8568325,-0.8745616184971778,-0.0354885509979445,0.0746151458807274,2.2300000190734863,0.0,0.270000010728836,0.0,0.3400000035762787,0.0,4.579999923706055,0.0,2.440000057220459,0.0,-0.0071827959085021,-0.0160866132164435,0.0063552470802893,0.0047620134428143,0.0076571679674088,-0.0135168805718421,0.7415221929550171,-0.2003768384456634,9.595979690551758,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,1648214153.9568102,-0.8976275393973175,-0.0374187500088689,0.0744291936882962,2.2300000190734863,0.0,0.270000010728836,0.0,0.3400000035762787,0.0,4.599999904632568,0.0,2.450000047683716,0.0,-0.0067117712683354,-0.0156102705952518,0.0052888805932677,0.0150470500811934,0.0223337300121784,-0.029748186469078,0.7884277701377869,-0.2344588339328766,10.080923080444336,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,1648214154.0569046,-0.9213590814808974,-0.0387981212752758,0.0760702558898953,2.220000028610229,0.0,0.270000010728836,0.0,0.3499999940395355,0.0,4.590000152587891,0.0,2.440000057220459,0.0,-0.0061935291861945,-0.0156275281045191,0.0046505029013671,0.0163777582347393,0.007337873801589,-0.0214858800172805,0.581743061542511,-0.0149482479318976,9.446158409118652,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,1648214154.1568294,-0.9666964017540348,-0.041483158029264,0.0740130057737671,2.2300000190734863,0.0,0.270000010728836,0.0,0.3600000143051147,0.0,4.599999904632568,0.0,2.450000047683716,0.0,-0.0058202247065853,-0.0157666347881944,0.0043971506411991,0.0197062436491251,0.0039907936006784,-0.0140421884134411,0.5570769309997559,-0.0278519690036773,9.687931060791016,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,1648214154.2568786,-0.987521052401768,-0.043172023140463,0.0737392427900991,2.2300000190734863,0.0,0.270000010728836,0.0,0.3499999940395355,0.0,4.599999904632568,0.0,2.450000047683716,0.0,-0.0059778558619275,-0.015391392716619,0.0046634253545735,-0.0061134318821132,0.0129874572157859,0.0072132013738155,0.354756236076355,0.0849515721201896,9.36003589630127,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1648214154.3568494,-1.0295921931811889,-0.0467023269859951,0.0747597761164844,2.2300000190734863,0.0,0.2599999904632568,0.0,0.3499999940395355,0.0,4.590000152587891,0.0,2.440000057220459,0.0,-0.0059958204519247,-0.015346660670499,0.0047475430264164,0.0028851982206106,0.0096649322658777,0.0095728058367967,0.2267734110355377,-0.1389833390712738,9.68221950531006,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1648214154.456769,-1.0522193385183078,-0.0485975050210363,0.0741552224232525,2.220000028610229,0.0,0.270000010728836,0.0,0.3400000035762787,0.0,4.599999904632568,0.0,2.440000057220459,0.0,-0.0060389669414977,-0.0152546171511033,0.0049028994624004,-0.0066545340232551,0.0048892111517488,0.0147223677486181,0.0716013759374618,-0.001048176549375,9.62154769897461,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.369140625,0.1337890625,0.255859375,0.41015625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
